file1,"cod_event_in;id_volcan;est;componente;id_evento_macro;cod_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descripcion;label_event;amplitud;coda;frecuencia
23;99;FU2;Z;20171212_011948.712 ;FU2Z12-12-2017_01:19:45.045;1;2021-07-04 23:27:24.467 ;4Testing;2017-12-12T01:19:48.712Z;2017-12-12T01:20:04.054Z;0;0;0;47888;c;0002-07-21T00:00:00Z;sin comentario;1;0.98244;12-12-2017 1:19;1
24;99;FU2;Z;20171212_012104.462 ;FU2Z12-12-2017_01:21:00.403;1;2021-07-04 23:27:24.468 ;4Testing;2017-12-12T01:21:04.462Z;2017-12-12T01:21:04.042Z;0;0;0;-32409;c;0002-07-21T00:00:00Z;sin comentario;1;36.781;12-12-2017 1:21;1
25;99;FU2;Z;20171212_012104.462 ;FU2Z12-12-2017_01:20:40.534;1;2021-07-04 23:27:24.469 ;4Testing;2017-12-12T01:21:04.465Z;2017-12-12T01:21:04.065Z;0;0;0;-54708;c;0002-07-21T00:00:00Z;sin comentario;1;36.781;12-12-2017 1:20;1
26;99;FU2;Z;20171212_012145.175 ;FU2Z12-12-2017_01:21:18.343;1;2021-07-04 23:27:24.470 ;4Testing;2017-12-12T01:21:45.175Z;2017-12-12T01:21:18.441Z;0;0;0;-46156;c;0002-07-21T00:00:00Z;sin comentario;1;26.544;12-12-2017 1:21;1
27;99;FU2;Z;20171212_012503.212 ;FU2Z12-12-2017_01:25:00.339;1;2021-07-04 23:27:24.471 ;4Testing;2017-12-12T01:25:03.212Z;2017-12-12T01:25:03.952Z;0;0;0;-17003;c;0002-07-21T00:00:00Z;sin comentario;1;35.002;12-12-2017 1:25;1
28;99;FU2;Z;20171212_012548.963 ;FU2Z12-12-2017_01:25:36.008;1;2021-07-04 23:27:24.471 ;4Testing;2017-12-12T01:25:48.963Z;2017-12-12T01:25:55.394Z;0;0;0;-79854;c;0002-07-21T00:00:00Z;sin comentario;1;14.175;12-12-2017 1:25;1
29;99;FU2;Z;20171212_012650.747 ;FU2Z12-12-2017_01:26:13.757;1;2021-07-04 23:27:24.472 ;4Testing;2017-12-12T01:26:50.747Z;2017-12-12T01:26:53.047Z;0;0;0;-55899;c;0002-07-21T00:00:00Z;sin comentario;1;15.991;12-12-2017 1:26;1
30;99;FU2;Z;20171212_012847.213 ;FU2Z12-12-2017_01:28:36.024;1;2021-07-04 23:27:24.473 ;4Testing;2017-12-12T01:28:47.213Z;2017-12-12T01:28:36.241Z;0;0;0;-0.99013;c;0002-07-21T00:00:00Z;sin comentario;1;11.665;12-12-2017 1:28;1
31;99;FU2;Z;20171212_013204.479 ;FU2Z12-12-2017_01:31:09.311;1;2021-07-04 23:27:24.474 ;4Testing;2017-12-12T01:32:04.479Z;2017-12-12T01:31:17.442Z;0;0;0;-12579;c;0002-07-21T00:00:00Z;sin comentario;1;26.142;12-12-2017 1:31;1
32;99;FU2;Z;20171212_013349.095 ;FU2Z12-12-2017_01:33:18.239;1;2021-07-04 23:27:24.475 ;4Testing;2017-12-12T01:33:49.095Z;2017-12-12T01:33:21.872Z;0;0;0;-61534;c;0002-07-21T00:00:00Z;sin comentario;1;18.108;12-12-2017 1:33;1
